report,sys_time,sim_state,service_state,net_op_name,net_op_code,roaming,net_type,call_state,data_state,data_act,data_rx,data_tx,gsm_neighbors,umts_neighbors,lte_neighbors,cdma_neighbors,rssi_strongest,tech,mcc,mnc,lac_tac_sid,long_cid,node_id_nid,cid_bid,psc_pci,rssi,rsrq,rssi_ev,ecio_ev,rssnr,slev,ta,gps,accuracy,lat,long,altitude,speed,bearing,band,arfcn,bts_psc_pci,bts_band,bts_arfcn,site_name,cell_lat,cell_long,cell_name,azimuth,height,tilt_mech,tilt_el,
0,20200418140308,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,2,0,-98,LTE,510,10,3942,44042018,172039,34,278,-99,-14,2147483647,2147483647,-32,2,2147483647,2,400,-7.4304881,109.2573198,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
1,20200418140309,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,2,0,-98,LTE,510,10,3942,44042018,172039,34,278,-99,-14,2147483647,2147483647,-32,2,2147483647,2,400,-7.4304881,109.2573198,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
2,20200418140310,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,2,0,-106,LTE,510,10,3942,44042018,172039,34,278,-102,-13,2147483647,2147483647,-32,2,2147483647,2,400,-7.4304881,109.2573198,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
3,20200418140311,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,2,0,-106,LTE,510,10,3942,44042018,172039,34,278,-102,-13,2147483647,2147483647,-32,2,2147483647,2,400,-7.4304881,109.2573198,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
4,20200418140312,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,1,0,-102,LTE,510,10,3942,44042018,172039,34,278,-103,-20,2147483647,2147483647,-74,2,2147483647,2,400,-7.4304881,109.2573198,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
5,20200418140313,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,1,0,-102,LTE,510,10,3942,44042018,172039,34,278,-103,-20,2147483647,2147483647,-74,2,2147483647,2,400,-7.4304881,109.2573198,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
6,20200418140314,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,1,0,-102,LTE,510,10,3942,44042018,172039,34,278,-103,-20,2147483647,2147483647,-84,2,2147483647,2,400,-7.4304881,109.2573198,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
7,20200418140315,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,2,0,-104,LTE,510,10,3942,44230178,172774,34,113,-87,-10,2147483647,2147483647,-84,3,2147483647,2,400,-7.4304881,109.2573198,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
8,20200418140316,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,2,0,-104,LTE,510,10,3942,44230178,172774,34,113,-87,-10,2147483647,2147483647,134,3,2147483647,2,400,-7.4304881,109.2573198,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
9,20200418140317,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,2,0,-104,LTE,510,10,3942,44230178,172774,34,113,-87,-10,2147483647,2147483647,134,3,2147483647,2,400,-7.4304881,109.2573198,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
10,20200418140318,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-112,LTE,510,10,3942,44230178,172774,34,113,-98,-7,2147483647,2147483647,68,2,2147483647,2,400,-7.4304881,109.2573198,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
11,20200418140319,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-112,LTE,510,10,3942,44230178,172774,34,113,-98,-7,2147483647,2147483647,68,2,2147483647,2,400,-7.4304881,109.2573198,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
12,20200418140320,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-112,LTE,510,10,3942,44230178,172774,34,113,-98,-7,2147483647,2147483647,68,2,2147483647,2,699,-7.4336221,109.2591783,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
13,20200418140321,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-104,LTE,510,10,3942,44230178,172774,34,113,-98,-9,2147483647,2147483647,68,2,2147483647,2,699,-7.4336221,109.2591783,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
14,20200418140322,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-104,LTE,510,10,3942,44230178,172774,34,113,-98,-9,2147483647,2147483647,68,2,2147483647,2,699,-7.4336221,109.2591783,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
15,20200418140323,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-104,LTE,510,10,3942,44230178,172774,34,113,-98,-9,2147483647,2147483647,30,2,2147483647,2,699,-7.4336221,109.2591783,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
16,20200418140324,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-109,LTE,510,10,3942,44230178,172774,34,113,-103,-9,2147483647,2147483647,30,2,2147483647,2,699,-7.4336221,109.2591783,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
17,20200418140325,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-109,LTE,510,10,3942,44230178,172774,34,113,-103,-9,2147483647,2147483647,30,2,2147483647,2,699,-7.4336221,109.2591783,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
18,20200418140326,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-109,LTE,510,10,3942,44230178,172774,34,113,-103,-9,2147483647,2147483647,30,2,2147483647,2,699,-7.4336221,109.2591783,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
19,20200418140327,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-102,LTE,510,10,3942,44230178,172774,34,113,-99,-12,2147483647,2147483647,-64,2,2147483647,2,699,-7.4336221,109.2591783,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
20,20200418140328,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-102,LTE,510,10,3942,44230178,172774,34,113,-99,-12,2147483647,2147483647,-64,2,2147483647,2,699,-7.4336221,109.2591783,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
