report,sys_time,sim_state,service_state,net_op_name,net_op_code,roaming,net_type,call_state,data_state,data_act,data_rx,data_tx,gsm_neighbors,umts_neighbors,lte_neighbors,cdma_neighbors,rssi_strongest,tech,mcc,mnc,lac_tac_sid,long_cid,node_id_nid,cid_bid,psc_pci,rssi,rsrq,rssi_ev,ecio_ev,rssnr,slev,ta,gps,accuracy,lat,long,altitude,speed,bearing,band,arfcn,bts_psc_pci,bts_band,bts_arfcn,site_name,cell_lat,cell_long,cell_name,azimuth,height,tilt_mech,tilt_el,
0,20200418140705,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,1,0,-103,LTE,510,10,3942,44174616,172557,24,247,-104,-10,2147483647,2147483647,4,2,2147483647,2,1299,-7.426156,109.260665,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
1,20200418140706,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,2,0,-97,LTE,510,10,3942,44174616,172557,24,247,-83,-7,2147483647,2147483647,4,4,2147483647,2,1299,-7.426156,109.260665,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
2,20200418140707,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,2,0,-97,LTE,510,10,3942,44174616,172557,24,247,-83,-7,2147483647,2147483647,214,4,2147483647,2,1299,-7.426156,109.260665,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
3,20200418140708,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,2,0,-97,LTE,510,10,3942,44174616,172557,24,247,-83,-7,2147483647,2147483647,214,4,2147483647,2,1299,-7.426156,109.260665,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
4,20200418140709,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,2,0,-93,LTE,510,10,3942,44174616,172557,24,247,-84,-10,2147483647,2147483647,158,4,2147483647,2,1299,-7.426156,109.260665,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
5,20200418140710,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,2,0,-93,LTE,510,10,3942,44174616,172557,24,247,-84,-10,2147483647,2147483647,158,4,2147483647,2,1299,-7.426156,109.260665,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
6,20200418140711,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,2,0,-92,LTE,510,10,3942,44174616,172557,24,247,-84,-9,2147483647,2147483647,150,4,2147483647,2,1299,-7.426156,109.260665,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
7,20200418140712,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,2,0,-92,LTE,510,10,3942,44174616,172557,24,247,-84,-9,2147483647,2147483647,150,4,2147483647,2,1299,-7.426156,109.260665,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
8,20200418140713,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,2,0,-92,LTE,510,10,3942,44174616,172557,24,247,-84,-9,2147483647,2147483647,150,4,2147483647,2,1299,-7.426156,109.260665,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
9,20200418140714,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,2,0,-87,LTE,510,10,3942,44174616,172557,24,247,-79,-10,2147483647,2147483647,150,4,2147483647,2,1299,-7.426156,109.260665,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
10,20200418140715,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,2,0,-87,LTE,510,10,3942,44174616,172557,24,247,-79,-10,2147483647,2147483647,150,4,2147483647,2,1299,-7.426156,109.260665,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
11,20200418140716,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,2,0,-89,LTE,510,10,3942,44174616,172557,24,247,-82,-9,2147483647,2147483647,156,4,2147483647,2,1299,-7.426156,109.260665,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
12,20200418140717,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,2,0,-89,LTE,510,10,3942,44174616,172557,24,247,-82,-9,2147483647,2147483647,156,4,2147483647,2,1299,-7.426156,109.260665,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
13,20200418140718,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,2,0,-89,LTE,510,10,3942,44174616,172557,24,247,-80,-10,2147483647,2147483647,156,4,2147483647,2,1299,-7.426156,109.260665,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
14,20200418140719,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,2,0,-89,LTE,510,10,3942,44174616,172557,24,247,-80,-10,2147483647,2147483647,156,4,2147483647,2,1100,-7.4276758,109.2554613,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
15,20200418140720,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,2,0,-89,LTE,510,10,3942,44174616,172557,24,247,-80,-10,2147483647,2147483647,186,4,2147483647,2,1100,-7.4276758,109.2554613,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
16,20200418140721,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,2,0,-96,LTE,510,10,3942,44174616,172557,24,247,-76,-6,2147483647,2147483647,186,4,2147483647,2,1100,-7.4276758,109.2554613,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
17,20200418140722,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,2,0,-96,LTE,510,10,3942,44174616,172557,24,247,-76,-6,2147483647,2147483647,186,4,2147483647,2,1100,-7.4276758,109.2554613,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
18,20200418140723,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,2,0,-91,LTE,510,10,3942,44174616,172557,24,247,-81,-10,2147483647,2147483647,186,4,2147483647,2,1100,-7.4276758,109.2554613,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
19,20200418140724,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,2,0,-91,LTE,510,10,3942,44174616,172557,24,247,-81,-10,2147483647,2147483647,186,4,2147483647,2,1100,-7.4276758,109.2554613,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
20,20200418140725,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,2,0,-100,LTE,510,10,3942,44174616,172557,24,247,-92,-7,2147483647,2147483647,174,3,2147483647,2,1100,-7.4276758,109.2554613,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
21,20200418140726,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,2,0,-100,LTE,510,10,3942,44174616,172557,24,247,-92,-7,2147483647,2147483647,174,3,2147483647,2,1100,-7.4276758,109.2554613,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
22,20200418140727,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,2,0,-108,LTE,510,10,3942,44174616,172557,24,247,-96,-9,2147483647,2147483647,68,2,2147483647,2,1100,-7.4276758,109.2554613,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
23,20200418140728,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,2,0,-108,LTE,510,10,3942,44174616,172557,24,247,-96,-9,2147483647,2147483647,68,2,2147483647,2,1100,-7.4276758,109.2554613,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
24,20200418140729,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,2,0,-108,LTE,510,10,3942,44174616,172557,24,247,-96,-9,2147483647,2147483647,8,2,2147483647,2,1100,-7.4276758,109.2554613,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
25,20200418140730,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,2,0,-102,LTE,510,10,3942,44174616,172557,24,247,-95,-6,2147483647,2147483647,8,3,2147483647,2,1100,-7.4276758,109.2554613,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
26,20200418140731,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,2,0,-102,LTE,510,10,3942,44174616,172557,24,247,-95,-6,2147483647,2147483647,8,3,2147483647,2,1100,-7.4276758,109.2554613,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
27,20200418140732,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,2,0,-102,LTE,510,10,3942,44174616,172557,24,247,-95,-6,2147483647,2147483647,8,3,2147483647,2,1100,-7.4276758,109.2554613,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
28,20200418140733,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,2,0,-104,LTE,510,10,3942,44174616,172557,24,247,-89,-8,2147483647,2147483647,8,3,2147483647,2,1100,-7.4276758,109.2554613,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
29,20200418140734,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,2,0,-104,LTE,510,10,3942,44174616,172557,24,247,-89,-8,2147483647,2147483647,138,3,2147483647,2,1100,-7.4276758,109.2554613,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
