report,sys_time,sim_state,service_state,net_op_name,net_op_code,roaming,net_type,call_state,data_state,data_act,data_rx,data_tx,gsm_neighbors,umts_neighbors,lte_neighbors,cdma_neighbors,rssi_strongest,tech,mcc,mnc,lac_tac_sid,long_cid,node_id_nid,cid_bid,psc_pci,rssi,rsrq,rssi_ev,ecio_ev,rssnr,slev,ta,gps,accuracy,lat,long,altitude,speed,bearing,band,arfcn,bts_psc_pci,bts_band,bts_arfcn,site_name,cell_lat,cell_long,cell_name,azimuth,height,tilt_mech,tilt_el,
0,20200418141129,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,2,0,-95,LTE,510,10,3942,44174616,172557,24,247,-104,-19,2147483647,2147483647,-36,2,2147483647,2,699,-7.4283746,109.2614084,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
1,20200418141130,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,2,0,-95,LTE,510,10,3942,44174616,172557,24,247,-104,-19,2147483647,2147483647,-36,2,2147483647,2,699,-7.4283746,109.2614084,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
2,20200418141131,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-103,LTE,510,10,3942,44230178,172774,34,113,-87,-9,2147483647,2147483647,102,3,2147483647,2,699,-7.4283746,109.2614084,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
3,20200418141132,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,1,0,-103,LTE,510,10,3942,44230178,172774,34,113,-87,-9,2147483647,2147483647,102,3,2147483647,2,699,-7.4283746,109.2614084,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
4,20200418141133,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,0,0,2147483647,LTE,510,10,3942,44230178,172774,34,113,-97,-10,2147483647,2147483647,64,2,2147483647,2,699,-7.4283746,109.2614084,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
5,20200418141134,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,0,0,2147483647,LTE,510,10,3942,44230178,172774,34,113,-97,-10,2147483647,2147483647,64,2,2147483647,2,699,-7.4283746,109.2614084,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
6,20200418141135,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,0,0,2147483647,LTE,510,10,3942,44230178,172774,34,113,-97,-10,2147483647,2147483647,64,2,2147483647,2,699,-7.4283746,109.2614084,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
7,20200418141136,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,0,0,2147483647,LTE,510,10,3942,44230178,172774,34,113,-100,-12,2147483647,2147483647,50,2,2147483647,2,699,-7.4283746,109.2614084,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
8,20200418141137,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,0,0,2147483647,LTE,510,10,3942,44230178,172774,34,113,-100,-12,2147483647,2147483647,50,2,2147483647,2,699,-7.4283746,109.2614084,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
9,20200418141138,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,0,0,2147483647,LTE,510,10,3942,44230178,172774,34,113,-103,-14,2147483647,2147483647,-32,2,2147483647,2,699,-7.4283746,109.2614084,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
10,20200418141139,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,0,0,2147483647,LTE,510,10,3942,44230178,172774,34,113,-103,-14,2147483647,2147483647,-32,2,2147483647,2,699,-7.4283746,109.2614084,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
11,20200418141140,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,0,0,2147483647,LTE,510,10,3942,44230178,172774,34,113,-103,-14,2147483647,2147483647,-32,2,2147483647,2,699,-7.4283746,109.2614084,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
12,20200418141141,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,0,0,2147483647,LTE,510,10,3942,44230178,172774,34,113,-103,-13,2147483647,2147483647,-32,2,2147483647,2,699,-7.4283746,109.2614084,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
13,20200418141142,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,0,0,2147483647,LTE,510,10,3942,44230178,172774,34,113,-103,-13,2147483647,2147483647,-32,2,2147483647,2,699,-7.4283746,109.2614084,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
14,20200418141143,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,0,0,2147483647,LTE,510,10,3942,44230178,172774,34,113,-104,-15,2147483647,2147483647,-32,2,2147483647,2,699,-7.4283746,109.2614084,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
15,20200418141144,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,0,0,2147483647,LTE,510,10,3942,44230178,172774,34,113,-104,-15,2147483647,2147483647,-32,2,2147483647,2,699,-7.4283746,109.2614084,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
16,20200418141145,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,0,0,2147483647,LTE,510,10,3942,44230178,172774,34,113,-104,-15,2147483647,2147483647,-32,2,2147483647,2,699,-7.4283746,109.2614084,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
17,20200418141146,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,2,0,-100,LTE,510,10,3942,44230178,172774,34,113,-104,-18,2147483647,2147483647,-32,2,2147483647,2,699,-7.4283746,109.2614084,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
18,20200418141147,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,2,0,-100,LTE,510,10,3942,44230178,172774,34,113,-104,-18,2147483647,2147483647,-80,2,2147483647,2,699,-7.4283746,109.2614084,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
19,20200418141148,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,1,0,-106,LTE,510,10,3942,44174616,172557,24,247,-93,-7,2147483647,2147483647,-80,3,2147483647,2,699,-7.4283746,109.2614084,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
20,20200418141149,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,1,0,-106,LTE,510,10,3942,44174616,172557,24,247,-93,-7,2147483647,2147483647,96,3,2147483647,2,1299,-7.426156,109.260665,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
21,20200418141150,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,1,0,-106,LTE,510,10,3942,44174616,172557,24,247,-93,-7,2147483647,2147483647,96,3,2147483647,2,1299,-7.426156,109.260665,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
22,20200418141151,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,0,0,2147483647,LTE,510,10,3942,44174616,172557,24,247,-96,-9,2147483647,2147483647,72,2,2147483647,2,1299,-7.426156,109.260665,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
23,20200418141152,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,0,0,2147483647,LTE,510,10,3942,44174616,172557,24,247,-96,-9,2147483647,2147483647,72,2,2147483647,2,1299,-7.426156,109.260665,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
24,20200418141153,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,0,0,2147483647,LTE,510,10,3942,44174616,172557,24,247,-97,-14,2147483647,2147483647,72,2,2147483647,2,1299,-7.426156,109.260665,0,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
25,20200418141154,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,0,0,2147483647,LTE,510,10,3942,44174616,172557,24,247,-97,-14,2147483647,2147483647,-60,2,2147483647,1,50,-7.4283168,109.2589423,28.4258,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
26,20200418141155,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,1,0,0,0,2147483647,LTE,510,10,3942,44174616,172557,24,247,-97,-14,2147483647,2147483647,122,2,2147483647,1,38,-7.42832356,109.25891404,27.0738,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
27,20200418141156,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,2,0,-101,LTE,510,10,3942,44230178,172774,34,113,-95,-7,2147483647,2147483647,122,3,2147483647,1,35,-7.42833457,109.25886991,30.3351,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
28,20200418141157,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,2,0,-101,LTE,510,10,3942,44230178,172774,34,113,-95,-7,2147483647,2147483647,122,3,2147483647,1,31,-7.42834487,109.25882347,27.8073,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
29,20200418141158,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,2,0,-106,LTE,510,10,3942,44230178,172774,34,113,-95,-11,2147483647,2147483647,122,3,2147483647,1,27,-7.42835362,109.25878191,25.3386,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
30,20200418141159,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,2,0,-106,LTE,510,10,3942,44230178,172774,34,113,-95,-11,2147483647,2147483647,122,3,2147483647,1,25,-7.42836352,109.25874134,29.0746,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
31,20200418141200,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,2,0,-106,LTE,510,10,3942,44230178,172774,34,113,-95,-11,2147483647,2147483647,102,3,2147483647,1,25,-7.42837279,109.25870291,31.2488,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
32,20200418141201,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,2,0,-101,LTE,510,10,3942,44230178,172774,34,113,-98,-8,2147483647,2147483647,102,2,2147483647,1,23,-7.42839309,109.258658,30.134,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
33,20200418141202,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,2,0,-101,LTE,510,10,3942,44230178,172774,34,113,-98,-8,2147483647,2147483647,86,2,2147483647,1,23,-7.42840368,109.25862185,36.0876,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
34,20200418141203,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,2,0,-104,LTE,510,10,3942,44230178,172774,34,113,-91,-8,2147483647,2147483647,86,3,2147483647,1,22,-7.4284089,109.25858456,39.3036,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
35,20200418141204,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,2,0,-104,LTE,510,10,3942,44230178,172774,34,113,-91,-8,2147483647,2147483647,86,3,2147483647,1,22,-7.42841585,109.25855561,41.5661,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
36,20200418141205,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,2,0,-104,LTE,510,10,3942,44230178,172774,34,113,-91,-8,2147483647,2147483647,86,3,2147483647,1,21,-7.42841917,109.25853028,46.6771,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
37,20200418141206,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,2,0,-101,LTE,510,10,3942,44230178,172774,34,113,-90,-8,2147483647,2147483647,86,3,2147483647,1,22,-7.42842794,109.25850316,49.5867,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
38,20200418141207,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,2,0,-101,LTE,510,10,3942,44230178,172774,34,113,-90,-8,2147483647,2147483647,86,3,2147483647,1,19,-7.42842327,109.25847984,52.4969,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
39,20200418141208,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,2,0,-97,LTE,510,10,3942,44230178,172774,34,113,-91,-8,2147483647,2147483647,86,3,2147483647,1,19,-7.42842583,109.25845861,54.9147,1.31,256.9,2300,38750,null,null,null,null,,,null,null,null,null,null,
40,20200418141209,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,2,0,-97,LTE,510,10,3942,44230178,172774,34,113,-91,-8,2147483647,2147483647,72,3,2147483647,1,19,-7.42842538,109.25843583,57.0015,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
41,20200418141210,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,2,0,-97,LTE,510,10,3942,44230178,172774,34,113,-91,-8,2147483647,2147483647,72,3,2147483647,1,17,-7.42841205,109.25841727,59.2177,1.94,289.1,2300,38750,null,null,null,null,,,null,null,null,null,null,
42,20200418141211,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,0,0,2147483647,LTE,510,10,3942,44230178,172774,34,113,-89,-7,2147483647,2147483647,72,3,2147483647,1,16,-7.42838485,109.25840039,63.153,2.35,327.8,2300,38750,null,null,null,null,,,null,null,null,null,null,
43,20200418141212,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,0,0,2147483647,LTE,510,10,3942,44230178,172774,34,113,-89,-7,2147483647,2147483647,72,3,2147483647,1,16,-7.42834552,109.25839206,65.6882,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
44,20200418141213,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,0,0,2147483647,LTE,510,10,3942,44230178,172774,34,113,-89,-7,2147483647,2147483647,72,3,2147483647,1,16,-7.42830196,109.25838927,65.8141,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
45,20200418141214,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,0,0,2147483647,LTE,510,10,3942,44230178,172774,34,113,-83,-7,2147483647,2147483647,72,4,2147483647,1,16,-7.42828532,109.25838885,65.8972,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
46,20200418141215,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,0,0,2147483647,LTE,510,10,3942,44230178,172774,34,113,-83,-7,2147483647,2147483647,72,4,2147483647,1,17,-7.42826342,109.25838649,68.4813,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
47,20200418141216,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,0,0,2147483647,LTE,510,10,3942,44230178,172774,34,113,-86,-11,2147483647,2147483647,128,3,2147483647,1,16,-7.42824911,109.25838433,68.5094,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
48,20200418141217,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,0,0,2147483647,LTE,510,10,3942,44230178,172774,34,113,-86,-11,2147483647,2147483647,128,3,2147483647,1,16,-7.42824438,109.25838311,69.3146,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
49,20200418141218,READY,IN_SERVICE,by.U-DiRumahAja,51010,0,LTE,IDLE,DISCONNECTED,NONE,0,0,4,0,0,0,2147483647,LTE,510,10,3942,44230178,172774,34,113,-84,-10,2147483647,2147483647,70,4,2147483647,1,15,-7.42823959,109.25838235,69.4737,0,0,2300,38750,null,null,null,null,,,null,null,null,null,null,
