latitude	longitude
-7.4276391	109.2581678
-7.4276391	109.2581678
-7.4276391	109.2581678
-7.4276391	109.2581678
-7.4276391	109.2581678
-7.4276391	109.2581678
-7.4276391	109.2581678
-7.427663	109.2581711
-7.427663	109.2581711
-7.427663	109.2581711
-7.427663	109.2581711
-7.427663	109.2581711
-7.427663	109.2581711
-7.427663	109.2581711
-7.427663	109.2581711
-7.427663	109.2581711
-7.427663	109.2581711
-7.427663	109.2581711
-7.427663	109.2581711
-7.427663	109.2581711
-7.427663	109.2581711
-7.427663	109.2581711
-7.427663	109.2581711
-7.4276439	109.2581501
-7.4276439	109.2581501
-7.4276439	109.2581501
-7.4276439	109.2581501
-7.4276439	109.2581501
-7.4307931	109.2576915
-7.4307931	109.2576915
-7.4307931	109.2576915
-7.4307931	109.2576915
-7.4307931	109.2576915
-7.4307931	109.2576915
-7.4307931	109.2576915
-7.4307931	109.2576915
-7.4307931	109.2576915
-7.4307931	109.2576915
-7.4307931	109.2576915
-7.4273208	109.2562047
-7.4273208	109.2562047
-7.4273208	109.2562047
-7.4273208	109.2562047
-7.4273208	109.2562047
-7.4273208	109.2562047
-7.4273208	109.2562047
-7.4273208	109.2562047
-7.4273208	109.2562047
-7.4273208	109.2562047
-7.4273208	109.2562047
-7.4273208	109.2562047
-7.4273208	109.2562047
-7.4273208	109.2562047
-7.4273208	109.2562047
-7.4273208	109.2562047
-7.4273208	109.2562047
-7.4273208	109.2562047
-7.4273208	109.2562047
-7.4273208	109.2562047
-7.4276313	109.2636386
-7.4276313	109.2636386
-7.4276313	109.2636386
-7.4276313	109.2636386
-7.4276313	109.2636386
-7.4276313	109.2636386
-7.4276313	109.2636386
-7.4276313	109.2636386
-7.4276313	109.2636386
-7.4276313	109.2636386
-7.4276313	109.2636386
-7.4276313	109.2636386
-7.4276313	109.2636386
-7.4276313	109.2636386
-7.4276313	109.2636386
-7.4276313	109.2636386
-7.4276313	109.2636386
-7.4276313	109.2636386
-7.4276313	109.2636386
-7.4276313	109.2636386
-7.4276313	109.2636386
-7.4276313	109.2636386
-7.4276313	109.2636386
-7.4276313	109.2636386
-7.4276313	109.2636386
-7.4276313	109.2636386
-7.4276313	109.2636386
-7.4276313	109.2636386
-7.4276313	109.2636386
-7.4276313	109.2636386
-7.4276313	109.2636386
-7.4276313	109.2636386
-7.4276313	109.2636386
-7.4276313	109.2636386
-7.4276313	109.2636386
-7.4276313	109.2636386
-7.4276313	109.2636386
-7.4276313	109.2636386
-7.4276313	109.2636386
-7.4276313	109.2636386
-7.43218	109.2554613
-7.43218	109.2554613
-7.43218	109.2554613
-7.43218	109.2554613
-7.43218	109.2554613
-7.43218	109.2554613
-7.43218	109.2554613
-7.43218	109.2554613
-7.43218	109.2554613
-7.43218	109.2554613
-7.43218	109.2554613
-7.43218	109.2554613
-7.43218	109.2554613
-7.43218	109.2554613
-7.43218	109.2554613
-7.43218	109.2554613
-7.43218	109.2554613
-7.43218	109.2554613
-7.43218	109.2554613
-7.43218	109.2554613
-7.43218	109.2554613
